"year","composer","title","accompaniment","movements","permalink","trebleclef","minSPN_1","maxSPN_1","minMIDI_1","maxMIDI_1","ambitus_1","minSPN_2","maxSPN_2","minMIDI_2","maxMIDI_2","ambitus_2","minSPN_3","maxSPN_3","minMIDI_3","maxMIDI_3","ambitus_3","minSPN_4","maxSPN_4","minMIDI_4","maxMIDI_4","ambitus_4","minSPN_work","maxSPN_work","minMIDI_work","maxMIDI_work","ambitus_work"
1725,"Platti, Giovanni Benedetto","12 Cello Sonatas (Nr. 10)","continuo",4,"https://imslp.org/wiki/Special:ReverseLookup/102943",,"G2","G4",43,67,24,"Eb2","G4",39,67,28,"Bb2","F4",46,65,19,"G2","G4",43,67,24,"Eb2","G4",39,67,28
1725,"Platti, Giovanni Benedetto","12 Cello Sonatas (Nr. 5)","continuo",4,"https://imslp.org/wiki/Special:ReverseLookup/102943",,"D3","G4",50,67,17,"D2","F#4",38,66,28,"F#2","F#4",42,66,24,"D3","G4",50,67,17,"D2","G4",38,67,29
1725,"Platti, Giovanni Benedetto","12 Cello Sonatas (Nr. 7)","continuo",4,"https://imslp.org/wiki/Special:ReverseLookup/102943",,"G#2","G4",44,67,23,"D2","F#4",38,66,28,"E2","G4",40,67,27,"D2","G4",38,67,29,"D2","G4",38,67,29
1730,"Vivaldi, Antonio","Cello Sonata in A minor, RV 44","continuo",4,"https://imslp.org/wiki/Special:ReverseLookup/569632",,"D3","A4",50,69,19,"F2","A4",41,69,28,"E3","G4",52,67,15,"C2","A4",36,69,33,"C2","A4",36,69,33
1739,"Corrette, Michel","Cello Sonata in F major, Op.20 No.1","continuo",3,"https://imslp.org/wiki/Special:ReverseLookup/835250",,"F2","G4",41,67,26,"C2","G4",36,67,31,"C2","G4",36,67,31,,,,,,"C2","G4",36,67,31
1740,"Barrière, Jean-Baptiste","6 Cello Sonatas, Livre 4 (Nr. 3)","continuo",3,"https://imslp.org/wiki/Special:ReverseLookup/298122",,"E2","A4",40,69,29,"D3","A4",50,69,19,"E2","A4",40,69,29,,,,,,"E2","A4",40,69,29
1740,"Barrière, Jean-Baptiste","6 Cello Sonatas, Livre 4 (Nr. 5)","continuo",3,"https://imslp.org/wiki/Special:ReverseLookup/298122",,"G2","E5",43,76,33,"C2","A4",36,69,33,"A2","A4",45,69,24,,,,,,"C2","E5",36,76,40
1740,"Dall'Abaco, Joseph","12 Cello Sonatas (Nr. 12)","continuo",4,"https://imslp.org/wiki/Special:ReverseLookup/887248",,"F#3","E5",54,76,22,"C2","G5",36,79,43,"D3","D5",50,74,24,"D2","A5",38,81,43,"C2","A5",36,81,45
1740,"Dall'Abaco, Joseph","12 Cello Sonatas (Nr. 8)","continuo",3,"https://imslp.org/wiki/Special:ReverseLookup/887248",,"F#2","D5",42,74,32,"Eb3","Bb4",51,70,19,"F#2","E5",42,76,34,,,,,,"F#2","E5",42,76,34
1756,"Baur, Jean","6 Cello Sonatas, Op.2 (Nr. 1)","continuo",3,"https://imslp.org/wiki/Special:ReverseLookup/166650",,"D2","A4",38,69,31,"E3","A4",52,69,17,"G#2","B4",44,71,27,,,,,,"D2","B4",38,71,33
1760,"Chiabrano, Gaspare Giuseppe Gaetano","Cello Sonata No.2 in C major","continuo",3,"https://imslp.org/wiki/Special:ReverseLookup/545959",,"C2","G4",36,67,31,"C3","F#4",48,66,18,"C2","G4",36,67,31,,,,,,"C2","G4",36,67,31
1765,"Magito, Alexis","6 Cello Sonatas, Op.1 (Nr. 3)","continuo",3,"https://imslp.org/wiki/Special:ReverseLookup/641034",,"D3","B4",50,71,21,"D2","B4",38,71,33,"A2","G4",45,67,22,,,,,,"D2","B4",38,71,33
1766,"Boccherini, Luigi","Cello Sonata in G major, G.5","continuo",3,"https://imslp.org/wiki/Special:ReverseLookup/68662",,"D3","A5",50,81,31,"G2","G5",43,79,36,"G2","D5",43,74,31,,,,,,"G2","A5",43,81,38
1770,"Avondano, Pedro António","Cello Sonata in B-flat major","continuo",3,"https://imslp.org/wiki/Special:ReverseLookup/370519","8vb","F2","G5",41,79,38,"A2","G5",45,79,34,"C3","Eb6",48,87,39,,,,,,"F2","Eb6",41,87,46
