year;composer;title;accompaniment;movements;permalink;trebleclef;scope;minSPN;maxSPN;minMIDI;maxMIDI;ambitus;tempo
1725;Platti, Giovanni Benedetto;12 Cello Sonatas (Nr. 10);continuo;4;https://imslp.org/wiki/Special:ReverseLookup/102943;None;1;G2;G4;43;67;24;Largho
1725;Platti, Giovanni Benedetto;12 Cello Sonatas (Nr. 10);continuo;4;https://imslp.org/wiki/Special:ReverseLookup/102943;None;2;Eb2;G4;39;67;28;Allegro
1725;Platti, Giovanni Benedetto;12 Cello Sonatas (Nr. 10);continuo;4;https://imslp.org/wiki/Special:ReverseLookup/102943;None;3;Bb2;F4;46;65;19;Adagio
1725;Platti, Giovanni Benedetto;12 Cello Sonatas (Nr. 10);continuo;4;https://imslp.org/wiki/Special:ReverseLookup/102943;None;4;G2;G4;43;67;24;Presto
1725;Platti, Giovanni Benedetto;12 Cello Sonatas (Nr. 10);continuo;4;https://imslp.org/wiki/Special:ReverseLookup/102943;None;5;Eb2;G4;39;67;28; 
1725;Platti, Giovanni Benedetto;12 Cello Sonatas (Nr. 5);continuo;4;https://imslp.org/wiki/Special:ReverseLookup/102943;None;1;D3;G4;50;67;17;Non tanto adagio
1725;Platti, Giovanni Benedetto;12 Cello Sonatas (Nr. 5);continuo;4;https://imslp.org/wiki/Special:ReverseLookup/102943;None;2;D2;F#4;38;66;28;Fuga
1725;Platti, Giovanni Benedetto;12 Cello Sonatas (Nr. 5);continuo;4;https://imslp.org/wiki/Special:ReverseLookup/102943;None;3;F#2;F#4;42;66;24;Largho
1725;Platti, Giovanni Benedetto;12 Cello Sonatas (Nr. 5);continuo;4;https://imslp.org/wiki/Special:ReverseLookup/102943;None;4;D3;G4;50;67;17;Presto
1725;Platti, Giovanni Benedetto;12 Cello Sonatas (Nr. 5);continuo;4;https://imslp.org/wiki/Special:ReverseLookup/102943;None;5;D2;G4;38;67;29; 
1725;Platti, Giovanni Benedetto;12 Cello Sonatas (Nr. 7);continuo;4;https://imslp.org/wiki/Special:ReverseLookup/102943;None;1;G#2;G4;44;67;23;Adagio
1725;Platti, Giovanni Benedetto;12 Cello Sonatas (Nr. 7);continuo;4;https://imslp.org/wiki/Special:ReverseLookup/102943;None;2;D2;F#4;38;66;28;Allegro
1725;Platti, Giovanni Benedetto;12 Cello Sonatas (Nr. 7);continuo;4;https://imslp.org/wiki/Special:ReverseLookup/102943;None;3;E2;G4;40;67;27;Largho
1725;Platti, Giovanni Benedetto;12 Cello Sonatas (Nr. 7);continuo;4;https://imslp.org/wiki/Special:ReverseLookup/102943;None;4;D2;G4;38;67;29;Presto
1725;Platti, Giovanni Benedetto;12 Cello Sonatas (Nr. 7);continuo;4;https://imslp.org/wiki/Special:ReverseLookup/102943;None;5;D2;G4;38;67;29; 
1730;Vivaldi, Antonio;Cello Sonata in A minor, RV 44;continuo;4;https://imslp.org/wiki/Special:ReverseLookup/569632;None;1;D3;A4;50;69;19;Largo
1730;Vivaldi, Antonio;Cello Sonata in A minor, RV 44;continuo;4;https://imslp.org/wiki/Special:ReverseLookup/569632;None;2;F2;A4;41;69;28;Allegro poco
1730;Vivaldi, Antonio;Cello Sonata in A minor, RV 44;continuo;4;https://imslp.org/wiki/Special:ReverseLookup/569632;None;3;E3;G4;52;67;15;Largo
1730;Vivaldi, Antonio;Cello Sonata in A minor, RV 44;continuo;4;https://imslp.org/wiki/Special:ReverseLookup/569632;None;4;C2;A4;36;69;33;Allegro
1730;Vivaldi, Antonio;Cello Sonata in A minor, RV 44;continuo;4;https://imslp.org/wiki/Special:ReverseLookup/569632;None;5;C2;A4;36;69;33; 
1739;Corrette, Michel;Cello Sonata in F major, Op.20 No.1;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/835250;None;1;F2;G4;41;67;26;Fuga. Allegro
1739;Corrette, Michel;Cello Sonata in F major, Op.20 No.1;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/835250;None;2;C2;G4;36;67;31;Aria. Affettuoso
1739;Corrette, Michel;Cello Sonata in F major, Op.20 No.1;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/835250;None;3;C2;G4;36;67;31;Allegro
1739;Corrette, Michel;Cello Sonata in F major, Op.20 No.1;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/835250;None;4; ; ; ; ; ; 
1739;Corrette, Michel;Cello Sonata in F major, Op.20 No.1;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/835250;None;5;C2;G4;36;67;31; 
