year;composer;title;accompaniment;movements;permalink;trebleclef;tempo_1;minSPN_1;maxSPN_1;minMIDI_1;maxMIDI_1;ambitus_1;tempo_2;minSPN_2;maxSPN_2;minMIDI_2;maxMIDI_2;ambitus_2;tempo_3;minSPN_3;maxSPN_3;minMIDI_3;maxMIDI_3;ambitus_3;tempo_4;minSPN_4;maxSPN_4;minMIDI_4;maxMIDI_4;ambitus_4;minSPN_work;maxSPN_work;minMIDI_work;maxMIDI_work;ambitus_work
1725;Platti, Giovanni Benedetto;12 Cello Sonatas (Nr. 10);continuo;4;https://imslp.org/wiki/Special:ReverseLookup/102943;None;Largho;G2;G4;43;67;24;Allegro;Eb2;G4;39;67;28;Adagio;Bb2;F4;46;65;19;Presto;G2;G4;43;67;24;Eb2;G4;39;67;28
1725;Platti, Giovanni Benedetto;12 Cello Sonatas (Nr. 5);continuo;4;https://imslp.org/wiki/Special:ReverseLookup/102943;None;Non tanto adagio;D3;G4;50;67;17;Fuga;D2;F#4;38;66;28;Largho;F#2;F#4;42;66;24;Presto;D3;G4;50;67;17;D2;G4;38;67;29
1725;Platti, Giovanni Benedetto;12 Cello Sonatas (Nr. 7);continuo;4;https://imslp.org/wiki/Special:ReverseLookup/102943;None;Adagio;G#2;G4;44;67;23;Allegro;D2;F#4;38;66;28;Largho;E2;G4;40;67;27;Presto;D2;G4;38;67;29;D2;G4;38;67;29
1730;Vivaldi, Antonio;Cello Sonata in A minor, RV 44;continuo;4;https://imslp.org/wiki/Special:ReverseLookup/569632;None;Largo;D3;A4;50;69;19;Allegro poco;F2;A4;41;69;28;Largo;E3;G4;52;67;15;Allegro;C2;A4;36;69;33;C2;A4;36;69;33
1739;Corrette, Michel;Cello Sonata in F major, Op.20 No.1;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/835250;None;Fuga. Allegro;F2;G4;41;67;26;Aria. Affettuoso;C2;G4;36;67;31;Allegro;C2;G4;36;67;31; ; ; ; ; ;0;C2;G4;36;67;31
1740;Barrière, Jean-Baptiste;6 Cello Sonatas, Livre 4 (Nr. 3);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/298122;None;Largo staccato;E2;A4;40;69;29;Gavotte;D3;A4;50;69;19;Adagio - Allegro;E2;A4;40;69;29; ; ; ; ; ;0;E2;A4;40;69;29
1740;Barrière, Jean-Baptiste;6 Cello Sonatas, Livre 4 (Nr. 5);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/298122;None;Andante;G2;E5;43;76;33;Largetto;C2;A4;36;69;33;Aria Amoroso;A2;A4;45;69;24; ; ; ; ; ;0;C2;E5;36;76;40
1740;Dall'Abaco, Joseph;12 Cello Sonatas (Nr. 12);continuo;4;https://imslp.org/wiki/Special:ReverseLookup/887248;None;N/A;F#3;E5;54;76;22;Allegro;C2;G5;36;79;43;Larghetto;D3;D5;50;74;24;Allegro;D2;A5;38;81;43;C2;A5;36;81;45
1740;Dall'Abaco, Joseph;12 Cello Sonatas (Nr. 8);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/887248;None;Allegro;F#2;D5;42;74;32;Grave;Eb3;Bb4;51;70;19;Giga Allegro;F#2;E5;42;76;34; ; ; ; ; ;0;F#2;E5;42;76;34
1756;Baur, Jean;6 Cello Sonatas, Op.2 (Nr. 1);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/166650;None;Pocco Allegro;D2;A4;38;69;31;Cantabile;E3;A4;52;69;17;Minuetti;G#2;B4;44;71;27; ; ; ; ; ;0;D2;B4;38;71;33
1760;Chiabrano, Gaspare Giuseppe Gaetano;Cello Sonata No.2 in C major;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/545959;None;Allegro;C2;G4;36;67;31;Largo;C3;F#4;48;66;18;Allegro;C2;G4;36;67;31; ; ; ; ; ;0;C2;G4;36;67;31
1765;Magito, Alexis;6 Cello Sonatas, Op.1 (Nr. 3);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/641034;None;Adagio;D3;B4;50;71;21;Allegro moderato. Andante Piano;D2;B4;38;71;33;Menuetto Primo. Menuetto Piano;A2;G4;45;67;22; ; ; ; ; ;0;D2;B4;38;71;33
1766;Boccherini, Luigi;Cello Sonata in G major, G.5;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/68662;None;Largo;D3;A5;50;81;31;Allegro alla Militaire;G2;G5;43;79;36;Menuetto;G2;D5;43;74;31; ; ; ; ; ;0;G2;A5;43;81;38
